City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_description
170,Victoria,HK,22.2855,114.1577,85.32,92,96,1.01,light rain
171,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,83,75,18.41,broken clouds
172,Lebu,CL,-37.6167,-73.65,52.36,85,100,5.28,overcast clouds
173,Leshan,CN,29.5623,103.7639,74.03,67,100,1.32,overcast clouds
174,Uusikaupunki,FI,60.8004,21.4084,57.72,82,49,10.2,scattered clouds
175,Snasa,NO,64.2457,12.3778,53.01,81,100,4.7,overcast clouds
176,Rosario,AR,-32.9468,-60.6393,62.58,34,0,1.99,clear sky
177,Vao,NC,-22.6667,167.4833,67.82,56,9,25.1,clear sky
178,Santa Marta,CO,11.2408,-74.199,90.34,73,55,5.75,broken clouds
179,Tiksi,RU,71.6872,128.8694,47.28,73,7,11.3,clear sky
180,Mandalgovi,MN,45.7625,106.2708,54.41,82,0,17.45,clear sky
181,Bac Lieu,VN,9.285,105.7244,79.16,88,100,11.7,overcast clouds
182,De-Kastri,RU,51.4667,140.7833,56.86,95,100,5.37,overcast clouds
183,Fairbanks,US,64.8378,-147.7164,62.94,76,90,0.0,overcast clouds
184,Hastings,GB,50.8552,0.5729,64.98,84,19,24.61,few clouds
185,Katsuura,JP,35.1333,140.3,79.11,88,12,7.7,few clouds
186,Mahesana,IN,23.6,72.4,78.35,78,99,14.97,overcast clouds
187,Ostersund,SE,63.1792,14.6357,54.61,76,90,20.71,overcast clouds
188,Taltal,CL,-25.4,-70.4833,64.62,64,8,8.08,clear sky
189,Manado,ID,1.487,124.8455,77.77,94,20,3.44,few clouds
190,Taoudenni,ML,22.6783,-3.9836,101.79,23,49,23.38,scattered clouds
191,Umm Kaddadah,SD,13.6017,26.6876,84.78,49,69,17.87,broken clouds
192,Miandrivazo,MG,-19.5167,45.4667,76.5,50,92,2.84,overcast clouds
193,Panguipulli,CL,-39.6333,-72.3333,44.31,99,100,1.16,light rain
194,Lazaro Cardenas,MX,17.9583,-102.2,84.78,68,89,2.48,overcast clouds
195,Georgetown,MY,5.4112,100.3354,77.9,89,40,1.99,light rain
196,Vanimo,PG,-2.6741,141.3028,76.53,87,40,2.13,scattered clouds
197,Rock Falls,US,41.7798,-89.689,74.03,67,1,8.05,clear sky
198,Chlorakas,CY,34.8042,32.4083,81.63,68,0,8.05,clear sky
199,Huarmey,PE,-10.0681,-78.1522,70.56,71,14,10.94,few clouds
200,Sao Filipe,CV,14.8961,-24.4956,75.92,83,66,8.72,broken clouds
201,Caravelas,BR,-17.7125,-39.2481,67.93,76,100,11.1,overcast clouds
202,Joanopolis,BR,-22.9303,-46.2756,58.59,45,100,6.2,overcast clouds
203,Ishigaki,JP,24.3448,124.1572,84.16,86,99,17.07,overcast clouds
204,Codrington,AU,-38.2667,141.9667,53.4,63,100,18.14,overcast clouds
205,Gweta,BW,-20.1833,25.2333,64.27,29,17,20.78,few clouds
206,Castro,BR,-24.7911,-50.0119,54.03,43,93,4.94,overcast clouds
207,Casablanca,MA,33.5928,-7.6192,80.62,73,75,9.22,broken clouds
208,Khasan,RU,42.4308,130.6434,76.57,93,86,8.28,overcast clouds
209,Port Alfred,ZA,-33.5906,26.891,58.64,75,49,6.62,scattered clouds
210,San Marcos,US,33.1434,-117.1661,101.88,65,20,3.0,few clouds
211,Kashirskoye,RU,51.4194,39.6125,71.82,83,24,7.49,few clouds
212,Cimitarra,CO,6.3142,-73.9497,91.96,50,62,2.19,broken clouds
213,Port Hawkesbury,CA,45.6169,-61.3485,63.81,96,90,1.01,moderate rain
214,Guerrero Negro,MX,27.9769,-114.0611,82.53,55,12,10.02,few clouds
215,Pecos,US,31.4229,-103.4932,91.49,33,40,11.5,scattered clouds
216,Storforshei,NO,66.4043,14.5233,55.65,82,75,6.91,broken clouds
217,Saldanha,ZA,-33.0117,17.9442,55.45,85,1,10.02,clear sky
218,Shetpe,KZ,44.1667,52.1167,82.65,21,0,7.45,clear sky
219,Duns,GB,55.777,-2.3457,63.39,87,100,1.45,overcast clouds
220,Honiara,SB,-9.4333,159.95,76.77,88,88,3.65,overcast clouds
221,Mahibadhoo,MV,3.7833,72.9667,82.45,72,100,6.98,overcast clouds
222,Novaya Bryan,RU,51.7159,108.2691,52.57,91,99,3.06,overcast clouds
223,Winsford,GB,53.1833,-2.5167,61.59,92,100,3.0,light rain
224,Coahuayana,MX,18.7333,-103.6833,89.08,57,100,5.75,overcast clouds
225,Carutapera,BR,-1.195,-46.02,83.39,72,18,7.43,few clouds
226,Kodiak,US,57.79,-152.4072,54.91,76,90,0.0,overcast clouds
227,Nichinan,JP,31.6,131.3667,76.1,89,100,5.64,overcast clouds
228,Napasar,IN,27.9667,73.55,94.01,49,89,11.92,overcast clouds
229,Huilong,CN,31.8111,121.655,81.99,88,97,3.47,light rain
230,Coquimbo,CL,-29.9533,-71.3436,55.13,71,20,9.22,few clouds
231,Mpulungu,ZM,-8.7623,31.1141,73.54,41,0,13.56,clear sky
232,Krasnoarmeysk,RU,51.0239,45.6969,74.07,58,100,7.02,overcast clouds
233,Mahebourg,MU,-20.4081,57.7,71.89,64,40,18.41,scattered clouds
234,Qasigiannguit,GL,68.8193,-51.1922,46.06,61,39,1.48,scattered clouds
235,Bitung,ID,1.4451,125.1824,77.85,85,10,7.74,clear sky
236,La Serena,CL,-29.9078,-71.2542,54.91,71,20,9.22,few clouds
237,Lima,PE,-12.0432,-77.0282,62.13,77,90,11.5,overcast clouds
238,Chalons-En-Champagne,FR,48.9539,4.3672,72.18,72,49,6.93,scattered clouds
239,Graciano Sanchez,MX,23.9167,-99.2833,86.95,53,14,6.98,few clouds
240,Ayan,RU,56.45,138.1667,50.5,80,100,10.56,light rain
241,Kharp,RU,66.8014,65.8081,47.37,92,89,5.44,overcast clouds
242,Alyangula,AU,-13.8483,136.4192,64.27,100,90,3.44,overcast clouds
243,Port Blair,IN,11.6667,92.75,82.02,83,40,16.13,scattered clouds
244,Lavrentiya,RU,65.5833,-171.0,44.1,90,100,5.28,overcast clouds
245,Anadyr,RU,64.75,177.4833,41.5,86,40,8.01,light rain
246,Bauchi,NG,10.5,10.0,70.2,97,100,2.73,overcast clouds
