City_ID,City,Country,Max Temp,Current_description,Lat,Lng,Hotel Name
421,Cockburn Town,TC,82.74,clear sky,21.4612,-71.1419,Osprey Beach Hotel
422,Santarem,BR,80.73,broken clouds,-2.4431,-54.7083,Ecotur Lodge
423,Lazurne,UA,81.05,clear sky,46.084,32.5295,New Manna Hostel
427,Gigmoto,PH,81.91,overcast clouds,13.7796,124.39,Cj's Travellers Inn
430,Isangel,VU,71.71,overcast clouds,-19.55,169.2667,Tanna Lodge
432,Paris,FR,72.1,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
433,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
438,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
443,Belmonte,BR,71.6,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
446,Kharagpur,IN,77.09,overcast clouds,22.3333,87.3333,Guin Bros Lodge
447,Sao Sebastiao Do Paraiso,BR,71.17,clear sky,-20.9169,-46.9914,BM Hotel
448,Saint Anthony,US,79.25,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
452,Gizo,SB,80.67,broken clouds,-8.103,156.8419,Imagination Island
453,Medea,DZ,79.25,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
455,Sosnovskoye,RU,66.94,overcast clouds,55.8052,43.167,Gostinitsa Mup Zhkkh
459,Waingapu,ID,72.46,clear sky,-9.6567,120.2641,Pondok Wisata Elim
461,Daru,PG,77.05,overcast clouds,-9.0763,143.2092,Daru Lodge
462,Soyo,AO,73.45,clear sky,-6.1349,12.3689,Hotel Mpampa
465,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
468,Yazykovo,RU,67.37,broken clouds,55.2199,56.1353,Children's camp
471,Pringsewu,ID,73.87,scattered clouds,-5.3582,104.9744,Urban Style by Front One
475,Sal Rei,CV,80.8,few clouds,16.1833,-22.9167,Marine Club Beach Resort
476,Anito,PH,82.62,overcast clouds,12.4497,125.2886,The Yellow House
478,Broome,US,71.69,broken clouds,42.2506,-75.833,Chenango Valley State Park
481,Bireun,ID,78.76,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
484,Derzhavinsk,KZ,73.53,overcast clouds,51.1,66.3167,Ooo.khim Baza
485,Thoen,TH,74.89,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
487,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
490,Tanabe,JP,78.93,overcast clouds,33.7333,135.3667,美吉屋旅館
491,Rubizhne,UA,69.75,overcast clouds,49.0123,38.3797,Stanytsya
493,Fagaras,RO,75.43,clear sky,45.85,24.9667,Bulevard
494,Atambua,ID,69.55,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
497,Dawei,MM,77.25,overcast clouds,14.0833,98.2,Hotel Dawei
500,Bose,IT,78.75,broken clouds,45.4612,8.0137,Locanda Borgo Antico
503,Bubaque,GW,79.11,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
506,Kutum,SD,72.5,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
507,Ustye,RU,65.39,overcast clouds,59.6304,39.736,Dacha Sofronova
508,Santa Cruz,BO,71.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
510,Pasan,IN,73.51,moderate rain,22.85,82.2,Ashok Hotel
512,San Rafael,AR,70.57,clear sky,-34.6177,-68.3301,Hotel San Rafael
513,Loreto,MX,76.48,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
516,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
517,Nanzhang,CN,78.55,clear sky,31.7765,111.8386,Longmenkezhan
518,Xai-Xai,MZ,65.98,clear sky,-25.0519,33.6442,Complexo da Familia
520,Rampura,IN,80.6,broken clouds,30.25,75.2333,Akash
523,Baicheng,CN,69.89,light rain,45.6167,122.8167,Baicheng Didiao Inn
525,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
529,Gikongoro,RW,65.28,overcast clouds,-2.464,29.5739,Ubumwe Center Kigeme Ltd
532,Makaha,US,80.51,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
535,Muros,ES,68.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
537,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
538,Dingle,PH,77.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
540,La Asuncion,VE,82.9,clear sky,11.0333,-63.8628,Colinas de Matasiete
541,Shimoda,JP,77.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
542,Guia De Isora,ES,79.23,clear sky,28.2115,-16.7795,La Vista Pension
543,Srandakan,ID,76.87,broken clouds,-7.9386,110.2506,Puri Brata
545,Gondanglegi,ID,74.84,few clouds,-7.7479,112.0132,Gg. Munasir Homestay
546,Vertou,FR,67.98,scattered clouds,47.1687,-1.4693,Hotel La Louée
549,Ugoofaaru,MV,82.54,broken clouds,5.6667,73.0,Ungoofaaru Inn
550,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
554,Hefei,CN,81.95,clear sky,31.8639,117.2808,Jinhuan Hotel
556,Zhangye,CN,78.06,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
557,Nshamba,TZ,66.92,scattered clouds,-1.7983,31.5511,Mugemuzi’s Family
558,Colares,PT,75.09,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
559,Omboue,GA,75.0,broken clouds,-1.5746,9.2618,Hotel Olako
561,Popondetta,PG,71.46,overcast clouds,-8.7537,148.2534,Timos Transit House
564,Huatusco,MX,68.32,overcast clouds,19.15,-96.95,Hotel Misión Cocuyos Alta Montaña
567,Camacha,PT,72.36,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
568,Harper,LR,77.09,scattered clouds,4.375,-7.7169,Screensaver
570,Taloqan,AF,77.99,broken clouds,36.7361,69.5345,Saraisang street
573,Sidi Ali,DZ,78.04,broken clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
575,Marica,BR,69.69,broken clouds,-22.9194,-42.8186,Marica Hills
576,Acajutiba,BR,79.45,broken clouds,-11.6622,-38.0172,Recanto Da Lucinha
579,Balkhash,KZ,70.14,few clouds,46.844,74.9804,Family
580,Penzance,GB,65.08,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
584,Asadabad,IR,76.01,clear sky,34.7824,48.1185,کامپیوتر صادق
585,Seoul,KR,81.97,mist,37.5683,126.9778,롯데호텔 서울
586,Fort Nelson,CA,71.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
587,Ardesen,TR,75.16,few clouds,41.1911,40.9875,Green Suada Hotel
588,La Rioja,ES,72.05,few clouds,42.25,-2.5,Casa Concejos
599,Yambio,SS,68.86,moderate rain,4.5721,28.3955,Naivasha Hotel
600,Chimbote,PE,69.33,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
602,Yuci,CN,69.55,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
603,Dwarka,IN,82.06,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
606,Goderich,CA,65.21,clear sky,43.7501,-81.7165,Harmony Inn
608,Sigli,ID,80.17,overcast clouds,5.3848,95.9609,Losmen Dua Mali
610,Verkhneyarkeyevo,RU,66.87,few clouds,55.4505,54.3145,Komfort-Plyus
613,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
615,Kieta,PG,78.31,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
616,Bhatkal,IN,79.41,overcast clouds,13.9667,74.5667,Nilawar Palace
617,Renqiu,CN,70.56,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
618,Keti Bandar,PK,81.88,overcast clouds,24.1447,67.4497,Haji laloo memon house
620,Sampit,ID,74.34,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
621,Walvis Bay,,81.55,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
622,Tres Lagoas,BR,71.26,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
623,Faya,SA,73.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
624,Jiblah,YE,65.26,overcast clouds,13.9216,44.1467,Tiger Tower Hotel
625,Yanam,IN,82.35,overcast clouds,16.7333,82.2167,The Regency Hotel
626,Erdaojiang,CN,72.79,broken clouds,41.7764,126.0319,Tonggang Hotel
628,Moerai,PF,71.82,overcast clouds,-22.4333,-151.3333,Le Manotel
630,Mitsamiouli,KM,76.26,clear sky,-11.3847,43.2844,Foyer ADM
631,Flin Flon,CA,78.64,smoke,54.7682,-101.865,Victoria Inn Flin Flon
637,Bandarbeyla,SO,76.55,overcast clouds,9.4942,50.8122,JABIR HOTEL
641,Domoni,KM,74.66,clear sky,-12.2569,44.5319,Al Djadid
642,Ilek,RU,78.93,broken clouds,51.5271,53.3831,Avtostantsiya
645,Tagusao,PH,81.41,overcast clouds,9.1924,117.8141,Toledo
649,Sola,VU,77.99,broken clouds,-13.8833,167.55,Leumerus Bungalows
650,Namatanai,PG,78.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
652,Wageningen,NL,68.18,few clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
653,Sitka,US,66.09,broken clouds,57.0531,-135.33,Westmark Sitka
654,Smidovich,RU,66.02,overcast clouds,48.6,133.8167,Gostinnitsa
655,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
656,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
657,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
660,Warri,NG,78.33,overcast clouds,5.5167,5.75,BON Hotel Delta
662,Asau,RO,76.28,few clouds,46.4333,26.4,Casa Mika Ciobanus
663,Jaque,PA,82.98,overcast clouds,7.5175,-78.1703,Imbu Bua Lodge
664,Saint-Marc-Des-Carrieres,CA,68.31,broken clouds,46.6834,-72.0491,Larguer les samares
666,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
668,Tooele,US,80.1,scattered clouds,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
676,Asfi,MA,75.24,clear sky,32.2994,-9.2372,Hôtel Abda
677,Majene,ID,77.23,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
679,Catamarca,AR,71.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
680,Southbridge,US,82.38,clear sky,42.0751,-72.0334,Southbridge Hotel & Conference Center
684,Fare,PF,78.37,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
685,Saquarema,BR,75.34,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
686,Juneau,US,71.1,broken clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
